"","State ID","State","Year","Sector ID","Sector","Investment"
"1",1,"Aguascalientes",1999,"22","Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",1.04781997203827
"2",1,"Aguascalientes",1999,"23","Building",0.00257800007238984
"3",1,"Aguascalientes",1999,"31-33","Manufacturing Industries",796.863063812256
"4",1,"Aguascalientes",1999,"43","To the Wholesale Trade",0.485251992940903
"5",1,"Aguascalientes",1999,"46","Retail Trade",2.22647595405579
"6",1,"Aguascalientes",1999,"48-49","Transportation and Storage",11.9642887115479
"7",1,"Aguascalientes",1999,"51","Mass Media Information",2.10270404815674
"8",1,"Aguascalientes",1999,"52","Financial and Insurance Services",0.369087010622025
"9",1,"Aguascalientes",1999,"53","Real Estate and Rental Services of Furniture and Intangible Assets",2.5807158946991
"10",1,"Aguascalientes",1999,"54","Services Professionals, Scientists and Technicals",0.0759809985756874
"11",1,"Aguascalientes",1999,"56","Support Services to Business and Waste Management and Waste and Remediation Services",1.34517395496368
"12",1,"Aguascalientes",2000,"22","Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",1.62502694129944
"13",1,"Aguascalientes",2000,"31-33","Manufacturing Industries",259.871724128723
"14",1,"Aguascalientes",2000,"43","To the Wholesale Trade",2.14359188079834
"15",1,"Aguascalientes",2000,"46","Retail Trade",19.0218524932861
"16",1,"Aguascalientes",2000,"48-49","Transportation and Storage",0.0182700008153915
"17",1,"Aguascalientes",2000,"51","Mass Media Information",-20.0904502868652
"18",1,"Aguascalientes",2000,"52","Financial and Insurance Services",18.5996074676514
"19",1,"Aguascalientes",2000,"53","Real Estate and Rental Services of Furniture and Intangible Assets",4.18304586410522
"20",1,"Aguascalientes",2000,"54","Services Professionals, Scientists and Technicals",0.103871002793312
"21",1,"Aguascalientes",2000,"56","Support Services to Business and Waste Management and Waste and Remediation Services",1.00826597213745
"22",1,"Aguascalientes",2000,"72","Temporary Accommodation and Food Preparation and Drinks",0.27591198682785
"23",1,"Aguascalientes",2001,"22","Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",5.87863302230835
"24",1,"Aguascalientes",2001,"23","Building",0.156443998217583
"25",1,"Aguascalientes",2001,"31-33","Manufacturing Industries",138.756952762604
"26",1,"Aguascalientes",2001,"43","To the Wholesale Trade",0.862932980060577
"27",1,"Aguascalientes",2001,"46","Retail Trade",18.2012786865234
"28",1,"Aguascalientes",2001,"48-49","Transportation and Storage",-0.470771998167038
"29",1,"Aguascalientes",2001,"51","Mass Media Information",17.9942798614502
"30",1,"Aguascalientes",2001,"52","Financial and Insurance Services",71.9230346679688
"31",1,"Aguascalientes",2001,"53","Real Estate and Rental Services of Furniture and Intangible Assets",3.57581996917725
"32",1,"Aguascalientes",2001,"54","Services Professionals, Scientists and Technicals",0.104359999299049
"33",1,"Aguascalientes",2001,"56","Support Services to Business and Waste Management and Waste and Remediation Services",0.171951994299889
"34",1,"Aguascalientes",2001,"72","Temporary Accommodation and Food Preparation and Drinks",-0.611123979091644
"35",1,"Aguascalientes",2001,"81","Other Services except Government Activities",-1.6822589635849
"36",1,"Aguascalientes",2002,"22","Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",6.56981086730957
"37",1,"Aguascalientes",2002,"23","Building",0.00550600001588464
"38",1,"Aguascalientes",2002,"31-33","Manufacturing Industries",15.5088639259338
"39",1,"Aguascalientes",2002,"43","To the Wholesale Trade",0.926311016082764
"40",1,"Aguascalientes",2002,"46","Retail Trade",6.0162878036499
"41",1,"Aguascalientes",2002,"48-49","Transportation and Storage",4.63160108029842
"42",1,"Aguascalientes",2002,"51","Mass Media Information",36.5913887023926
"43",1,"Aguascalientes",2002,"52","Financial and Insurance Services",41.7006225585938
"44",1,"Aguascalientes",2002,"53","Real Estate and Rental Services of Furniture and Intangible Assets",5.47758293151855
"45",1,"Aguascalientes",2002,"54","Services Professionals, Scientists and Technicals",-1.66727101802826
"46",1,"Aguascalientes",2002,"56","Support Services to Business and Waste Management and Waste and Remediation Services",-0.0118890004232526
"47",1,"Aguascalientes",2002,"72","Temporary Accommodation and Food Preparation and Drinks",0.240553006529808
"48",1,"Aguascalientes",2003,"22","Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",9.35884952545166
"49",1,"Aguascalientes",2003,"23","Building",0.00107700005173683
"50",1,"Aguascalientes",2003,"31-33","Manufacturing Industries",66.4778718948364
"51",1,"Aguascalientes",2003,"43","To the Wholesale Trade",1.15619695186615
"52",1,"Aguascalientes",2003,"46","Retail Trade",7.96969890594482
"53",1,"Aguascalientes",2003,"48-49","Transportation and Storage",-0.51040899194777
"54",1,"Aguascalientes",2003,"51","Mass Media Information",24.4833889007568
"55",1,"Aguascalientes",2003,"52","Financial and Insurance Services",6.16546535491943
"56",1,"Aguascalientes",2003,"53","Real Estate and Rental Services of Furniture and Intangible Assets",3.78388905525208
"57",1,"Aguascalientes",2003,"54","Services Professionals, Scientists and Technicals",0.341098994016647
"58",1,"Aguascalientes",2003,"56","Support Services to Business and Waste Management and Waste and Remediation Services",-0.744831025600433
"59",1,"Aguascalientes",2003,"71","Leisure and Cultural Services, Sports, and other Recreational Services",0.878283977508545
"60",1,"Aguascalientes",2003,"72","Temporary Accommodation and Food Preparation and Drinks",0.093128003180027
"61",1,"Aguascalientes",2004,"22","Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",1.90025305747986
"62",1,"Aguascalientes",2004,"23","Building",0.237183004617691
"63",1,"Aguascalientes",2004,"31-33","Manufacturing Industries",288.927465438843
"64",1,"Aguascalientes",2004,"43","To the Wholesale Trade",7.74544620513916
"65",1,"Aguascalientes",2004,"46","Retail Trade",9.46044063568115
"66",1,"Aguascalientes",2004,"48-49","Transportation and Storage",0.275090008974075
"67",1,"Aguascalientes",2004,"51","Mass Media Information",15.3588714599609
"68",1,"Aguascalientes",2004,"52","Financial and Insurance Services",105.497787475586
"69",1,"Aguascalientes",2004,"53","Real Estate and Rental Services of Furniture and Intangible Assets",5.36950397491455
"70",1,"Aguascalientes",2004,"54","Services Professionals, Scientists and Technicals",0.847364008426666
"71",1,"Aguascalientes",2004,"56","Support Services to Business and Waste Management and Waste and Remediation Services",0.0227620005607605
"72",1,"Aguascalientes",2004,"72","Temporary Accommodation and Food Preparation and Drinks",4.24061679840088
"73",1,"Aguascalientes",2005,"22","Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",0.9081169962883
"74",1,"Aguascalientes",2005,"23","Building",0.0246040001511574
"75",1,"Aguascalientes",2005,"31-33","Manufacturing Industries",94.786365032196
"76",1,"Aguascalientes",2005,"43","To the Wholesale Trade",-3.71251845359802
"77",1,"Aguascalientes",2005,"46","Retail Trade",13.6950349807739
"78",1,"Aguascalientes",2005,"48-49","Transportation and Storage",1.32077400386333
